X, N
0 0
5 38.725
10 87.0687
15 133.777
20 177.875
25 216.478
30 251.61
35 281.712
40 308.699
45 331.441
50 351.528
55 368.086
60 382.425
65 393.848
70 403.446
75 410.636
80 416.355
85 420.087
90 422.663
95 423.593
100 423.648
105 468.07
110 528.878
115 602.447
120 688.227
125 784.153
130 875.768
135 961.742
140 1040.68
145 1115.25
150 1183.04
155 1247.46
160 1305.17
165 1360.4
170 1409.17
175 1456.35
180 1497.18
185 1537
190 1570.65
195 1603.98
200 1631.37
205 1658.87
210 1680.48
215 1702.73
220 1719.34
225 1736.96
230 1748.98
235 1762.32
240 1770.31
245 1779.94
250 1784.26
255 1790.39
260 1791.46
265 1794.57
270 1792.65
275 1792.89
280 1788.35
285 1786.04
290 1779
295 1774.34
300 1765.09
305 1758.19
310 1746.87
315 1737.9
320 1724.59
325 1713.61
330 1698.37
335 1685.36
340 1668.08
345 1652.74
350 1633.09
355 1615.43
360 1593.82
365 1574.33
370 1551.24
375 1530.36
380 1506.19
385 1484.27
390 1459.38
395 1436.75
400 1411.42
405 1388.34
410 1362.83
415 1339.52
420 1314.04
425 1290.71
430 1265.43
435 1242.24
440 1217.3
445 1194.38
450 1169.91
455 1147.36
460 1123.47
465 1101.39
470 1078.13
475 1056.59
480 1034.05
485 1013.1
490 991.308
495 971.006
500 949.995
505 930.366
510 910.163
515 891.23
520 871.848
525 853.625
530 835.07
535 817.563
540 799.835
545 783.047
550 766.139
555 750.065
560 733.968
565 718.6
570 703.298
575 688.625
580 674.101
585 660.109
590 646.343
595 633.015
600 619.987
605 607.304
610 594.989
615 582.932
620 571.307
625 559.856
630 548.895
635 538.028
640 527.706
645 517.401
650 507.694
655 497.929
660 488.809
665 479.562
670 471.006
675 462.255
680 454.236
685 445.96
690 438.454
695 430.63
700 423.614
705 416.222
710 409.671
715 402.691
720 396.583
725 389.994
730 384.307
735 378.089
740 372.802
745 366.938
750 362.029
755 356.501
760 351.951
765 346.74
770 342.53
775 337.621
780 333.732
785 329.108
790 325.523
795 321.169
800 317.872
805 313.773
810 310.747
815 306.889
820 304.119
825 300.489
830 297.961
835 294.546
840 292.245
845 289.033
850 286.947
855 283.927
860 282.042
865 279.202
870 277.508
875 274.838
880 273.323
885 270.813
890 269.467
895 267.108
900 265.919
905 263.702
910 262.662
915 260.578
920 259.678
925 257.719
930 256.95
935 255.11
940 254.464
945 252.734
950 252.204
955 250.578
960 250.156
965 248.628
970 248.307
975 246.871
980 246.645
985 245.295
990 245.158
995 243.889
1000 243.835
